1,74,eth:ethertype:ip:udp,20,60,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52074,80,0,0,0,0,0,0,0,0,0,0,1,0,28400,0.000000000
1,74,eth:ethertype:ip:tcp,20,60,0,1,0,0,55,6,119.162.193.187,154.49.2.126,80,52074,0,532928743,0,0,0,0,0,1,0,0,1,0,28960,0.006674000
1,66,eth:ethertype:ip:udp,20,52,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52074,80,0,227202786,0,0,0,0,0,1,0,0,0,0,28416,0.000068000
1,305,eth:ethertype:ip:udp,20,291,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52074,80,239,227202786,0,0,0,0,0,1,1,0,0,0,28416,0.015462000
1,74,eth:ethertype:ip:udp,20,60,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52075,80,0,0,0,0,0,0,0,0,0,0,1,0,28400,0.000000000
1,74,eth:ethertype:ip:udp,20,60,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52076,80,0,0,0,0,0,0,0,0,0,0,1,0,28400,0.000000000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,55,6,119.162.193.187,154.49.2.126,80,52074,0,532928982,0,0,0,0,0,1,0,0,0,0,30208,0.005597000
1,74,eth:ethertype:ip:tcp,20,60,0,1,0,0,55,6,119.162.193.187,154.49.2.126,80,52075,0,3131810496,0,0,0,0,0,1,0,0,1,0,28960,0.005853000
1,66,eth:ethertype:ip:udp,20,52,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52075,80,0,3391596370,0,0,0,0,0,1,0,0,0,0,28416,0.000055000
1,305,eth:ethertype:ip:udp,20,291,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52075,80,239,3391596370,0,0,0,0,0,1,1,0,0,0,28416,0.000166000
1,74,eth:ethertype:ip:udp,20,60,0,1,0,0,64,6,154.49.2.126,119.162.193.187,52077,80,0,0,0,0,0,0,0,0,0,0,1,0,28400,0.000000000
1,74,eth:ethertype:ip:tcp,20,60,0,1,0,0,55,6,119.162.193.187,154.49.2.126,80,52076,0,1026116463,0,0,0,0,0,1,0,0,1,0,28960,0.005728000
